const_no,constituency_name,district_name
1,GUMMIDIPOONDI,Thiruvallur
2,PONNERI,Thiruvallur
3,TIRUTTANI,Thiruvallur
4,THIRUVALLUR,Thiruvallur
5,POONAMALLEE,Thiruvallur
6,AVADI,Thiruvallur
7,MADURAVOYAL,Thiruvallur
8,AMBATTUR,Chennai
9,MADAVARAM,Chennai
10,THIRUVOTTIYUR,Chennai
11,DR.RADHAKRISHNAN NAGAR,Chennai
12,PERAMBUR,Chennai
13,KOLATHUR,Chennai
14,VILLIVAKKAM,Chennai
15,THIRU-VI-KA-NAGAR,Chennai
16,EGMORE,Chennai
17,ROYAPURAM,Chennai
18,HARBOUR,Chennai
19,CHEPAUK-THIRUVALLIKENI,Chennai
20,THOUSAND LIGHTS,Chennai
21,ANNA NAGAR,Chennai
22,VIRUGAMPAKKAM,Chennai
23,SAIDAPET,Chennai
24,THIYAGARAYANAGAR,Chennai
25,MYLAPORE,Chennai
26,VELACHERY,Chennai
27,SHOZHINGANALLUR,Chennai
28,ALANDUR,Chennai
29,SRIPERUMBUDUR,Kancheepuram
30,PALLAVARAM,Kancheepuram
31,TAMBARAM,Kancheepuram
32,CHENGALPATTU,Kancheepuram
33,THIRUPORUR,Kancheepuram
34,CHEYYUR,Kancheepuram
35,MADURANTAKAM,Kancheepuram
36,UTHIRAMERUR,Kancheepuram
37,KANCHEEPURAM,Kancheepuram
38,ARAKKONAM,Ranipet
39,SHOLINGUR,Ranipet
40,KATPADI,Ranipet
41,RANIPET,Ranipet
42,ARCOT,Ranipet
43,VELLORE,Vellore
44,ANAIKATTU,Vellore
45,KILVAITHINANKUPPAM,Vellore
46,GUDIYATTAM,Vellore
47,VANIYAMBADI,Tirupattur
48,AMBUR,Tirupattur
49,JOLARPET,Tirupattur
50,TIRUPPATTUR,Tirupattur
51,UTHANGARAI,Krishnagiri
52,BARGUR,Krishnagiri
53,KRISHNAGIRI,Krishnagiri
54,VEPPANAHALLI,Krishnagiri
55,HOSUR,Krishnagiri
56,THALLI,Krishnagiri
57,PALACODU,Dharmapuri
58,PENNAGARAM,Dharmapuri
59,DHARMAPURI,Dharmapuri
60,PAPPIREDDIPATTI,Dharmapuri
61,HARUR,Dharmapuri
62,CHENGAM,Tiruvannamalai
63,TIRUVANNAMALAI,Tiruvannamalai
64,KILPENNATHUR,Tiruvannamalai
65,KALASAPAKKAM,Tiruvannamalai
66,POLUR,Tiruvannamalai
67,ARANI,Tiruvannamalai
68,CHEYYAR,Tiruvannamalai
69,VANDAVASI,Tiruvannamalai
70,GINGEE,Tiruvannamalai
71,MAILAM,Villupuram
72,TINDIVANAM,Villupuram
73,VANUR,Villupuram
74,VILUPPURAM,Villupuram
75,VIKRAVANDI,Villupuram
76,TIRUKKOYILUR,Villupuram
77,ULUNDURPETTAI,Villupuram
78,RISHIVANDIYAM,Villupuram
79,SANKARAPURAM,Villupuram
80,KALLAKURICHI,Kallakurichi
81,GANGAVALLI,Salem
82,ATTUR,Salem
83,YERCAUD,Salem
84,OMALUR,Salem
85,METTUR,Salem
86,EDAPPADI,Salem
87,SANKARI,Salem
88,SALEM (WEST),Salem
89,SALEM (NORTH),Salem
90,SALEM (SOUTH),Salem
91,VEERAPANDI,Namakkal
